protein_id,GOs_eggnog,ko_eggnog,GO_process,GO_component,GO_function,gene,GOs_interpro
WP_250122489.1,-,-,,,,None,-
WP_250122490.1,-,-,['GO:0000160 - phosphorelay signal transduction system [Evidence IEA]'],,,None,-
WP_250122491.1,-,-,,,,None,GO:0000155(InterPro)|GO:0007165(InterPro)
WP_250122493.1,-,-,,,,None,-
WP_250122494.1,-,-,,,,None,GO:0005515(InterPro)
WP_250122495.1,-,-,,,,None,-
WP_250122496.1,-,-,,,,None,-
WP_250122499.1,-,-,,,"['GO:0016747 - acyltransferase activity, transferring groups other than amino-acyl groups [Evidence IEA]']",None,GO:0016747(InterPro)
WP_250122500.1,-,-,,,,None,GO:0005515(InterPro)
WP_250122501.1,-,ko:K03551,"['GO:0006281 - DNA repair [Evidence IEA]', 'GO:0006310 - DNA recombination [Evidence IEA]']",,"['GO:0003677 - DNA binding [Evidence IEA]', 'GO:0005524 - ATP binding [Evidence IEA]', 'GO:0009378 - four-way junction helicase activity [Evidence IEA]']",ruvB,-
WP_250122503.1,-,ko:K06898,"[""GO:0006189 - 'de novo' IMP biosynthetic process [Evidence IEA]""]",,['GO:0016787 - hydrolase activity [Evidence IEA]'],larB,-
WP_250122504.1,-,-,,,,None,-
WP_250122506.1,-,ko:K08226,,,,None,-
WP_250122507.1,-,-,,,"['GO:0005506 - iron ion binding [Evidence IEA]', 'GO:0016705 - oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [Evidence IEA]', 'GO:0020037 - heme binding [Evidence IEA]']",None,-
WP_250122508.1,-,ko:K00480,,,['GO:0071949 - FAD binding [Evidence IEA]'],None,-
WP_250122509.1,-,-,,,,None,-
WP_250122511.1,-,ko:K05356,['GO:0010236 - plastoquinone biosynthetic process [Evidence IEA]'],,['GO:0052923 - all-trans-nonaprenyl-diphosphate synthase (geranyl-diphosphate specific) activity [Evidence IEA]'],sds,GO:0008299(InterPro)
WP_250122513.1,"GO:0000270,GO:0003674,GO:0003824,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0008150,GO:0008152,GO:0008881,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0016853,GO:0016854,GO:0016855,GO:0030203,GO:0034645,GO:0036361,GO:0042546,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0047661,GO:0070589,GO:0071554,GO:0071704,GO:0071840,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576",ko:K01776,['GO:0009252 - peptidoglycan biosynthetic process [Evidence IEA]'],,['GO:0008881 - glutamate racemase activity [Evidence IEA]'],murI,GO:0016855(InterPro)
WP_250122514.1,-,ko:K01448,,,,None,-
WP_250122515.1,-,-,,,,None,-
WP_250122516.1,-,ko:K09807,,,,None,GO:0006974(PANTHER)|GO:0071575(PANTHER)
WP_250122517.1,-,ko:K03111,,,,None,GO:0003697(InterPro)
WP_250122518.1,-,ko:K03569,,,,None,-
WP_250122519.1,-,-,,,,None,-
WP_250122519.1,-,-,,,,None,-
WP_250122519.1,-,-,,,,None,-
WP_250122519.1,-,-,,,,None,-
WP_250122519.1,-,-,,,,None,-
WP_250122519.1,-,-,,,,None,-
WP_250122520.1,-,ko:K03570,,,,mreC,-
WP_250122521.1,-,-,['GO:0008360 - regulation of cell shape [Evidence IEA]'],,['GO:0003674 - molecular_function [Evidence IEA]'],mreD,GO:0008360(InterPro)|GO:0016020(InterPro)
WP_250122522.1,"GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0016070,GO:0034641,GO:0043170,GO:0043412,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:1901360",ko:K11752,,,"['GO:0008703 - 5-amino-6-(5-phosphoribosylamino)uracil reductase activity [Evidence IEA]', 'GO:0008835 - diaminohydroxyphosphoribosylaminopyrimidine deaminase activity [Evidence IEA]']",ribD,-
WP_250122525.1,-,ko:K20534,,,,None,GO:0005886(PANTHER)
WP_250122526.1,-,ko:K00507,['GO:0006629 - lipid metabolic process [Evidence IEA]'],,,None,GO:0016717(InterPro)
WP_250122527.1,-,-,,,['GO:0003677 - DNA binding [Evidence IEA]'],None,GO:0000976(PANTHER)|GO:0003700(PANTHER)|GO:0006355(PANTHER)
WP_250122528.1,-,-,,,,None,-
WP_250122529.1,-,-,,,,None,-
WP_250122530.1,-,-,,,,None,-
WP_250122531.1,-,-,,,,None,-
WP_250122532.1,-,ko:K00214,,,,None,-
WP_250122533.1,-,-,,,,None,-
WP_250122534.1,-,-,,,,None,-
WP_250122536.1,-,-,,,,None,-
WP_250122537.1,-,ko:K10206,,,,None,-
WP_250122538.1,-,"ko:K00001,ko:K00005",,,,None,-
WP_250122539.1,-,-,,,,None,-
WP_250122540.1,-,ko:K04488,['GO:0016226 - iron-sulfur cluster assembly [Evidence IEA]'],,['GO:0005198 - structural molecule activity [Evidence IEA]'],None,GO:0005506(InterPro)|GO:0005737(PANTHER)|GO:0006879(PANTHER)|GO:0008198(PANTHER)|GO:0016226(InterPro)|GO:0051536(InterPro)|GO:0051537(PANTHER)
WP_250122541.1,-,-,,,,None,-
WP_250122542.1,-,ko:K02012,,,,None,-
WP_250122543.1,-,ko:K04043,,,,dnaK,-
WP_250122544.1,-,ko:K02293,['GO:0016117 - carotenoid biosynthetic process [Evidence IEA]'],,['GO:0016166 - phytoene dehydrogenase activity [Evidence IEA]'],pds,-
WP_250122545.1,"GO:0003674,GO:0003824,GO:0004337,GO:0004659,GO:0006629,GO:0006720,GO:0006721,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009987,GO:0016108,GO:0016109,GO:0016114,GO:0016116,GO:0016117,GO:0016740,GO:0016765,GO:0016767,GO:0042440,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0046148,GO:0071704,GO:1901576",ko:K02291,,,,None,-
WP_250122546.1,-,"ko:K01999,ko:K11954",,,,None,-
WP_250122547.1,-,-,,,,None,-
WP_250122548.1,-,-,,,,None,-
WP_250122550.1,"GO:0003674,GO:0003824,GO:0016740,GO:0016757",ko:K00703,,,,glgA,-
WP_250122551.1,-,"ko:K03119,ko:K22303",,,,None,GO:0016491(InterPro)
WP_250122552.1,-,-,,,,None,-
WP_250122553.1,-,ko:K00860,,,,None,-
WP_250122554.1,"GO:0003674,GO:0003824,GO:0004418,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006725,GO:0006778,GO:0006779,GO:0006783,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0016740,GO:0016765,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0042168,GO:0042440,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044464,GO:0046148,GO:0046483,GO:0051186,GO:0051188,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576",ko:K01749,['GO:0006779 - porphyrin-containing compound biosynthetic process [Evidence IEA]'],['GO:0005737 - cytoplasm [Evidence IEA]'],['GO:0004418 - hydroxymethylbilane synthase activity [Evidence IEA]'],hemC,GO:0004418(InterPro)|GO:0033014(InterPro)
WP_250122556.1,-,-,,,,None,GO:0005515(InterPro)
WP_250122557.1,-,ko:K03707,,,,None,GO:0005829(PANTHER)
WP_250122558.1,-,-,,,,fabG,-
WP_250122559.1,-,ko:K01912,,,,None,-
WP_250122560.1,-,"ko:K02508,ko:K07506,ko:K07720",,,,None,-
WP_250122561.1,-,"ko:K01787,ko:K16213",,,,None,GO:0005975(InterPro)
WP_250122562.1,-,ko:K05520,,,,None,-
WP_250122563.1,-,-,,,,None,-
WP_250122564.1,-,ko:K01576,,,,None,-
WP_250122565.1,-,"ko:K01759,ko:K06893",,,,None,-
WP_250122566.1,-,ko:K06893,,,,None,-
WP_250122567.1,-,-,,,,None,-
WP_250122568.1,-,-,,,,None,-
WP_250122569.1,-,ko:K00108,,,"['GO:0016614 - oxidoreductase activity, acting on CH-OH group of donors [Evidence IEA]', 'GO:0050660 - flavin adenine dinucleotide binding [Evidence IEA]']",None,-
WP_250122570.1,-,ko:K08234,,,,None,-
WP_250122571.1,-,ko:K00700,['GO:0005975 - carbohydrate metabolic process [Evidence IEA]'],,['GO:0003824 - catalytic activity [Evidence IEA]'],None,-
WP_250122572.1,-,-,,,,None,-
WP_250122573.1,-,-,,,,None,-
WP_250122574.1,-,-,,,,None,-
WP_250122576.1,-,ko:K00817,,,,None,-
WP_250122577.1,-,ko:K07000,,,,None,-
WP_250122578.1,-,ko:K07506,,,,None,-
WP_250122579.1,-,-,,,,None,-
WP_250122580.1,-,-,,,,None,-
WP_250122581.1,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464",ko:K00383,['GO:0045454 - cell redox homeostasis [Evidence IEA]'],,['GO:0004362 - glutathione-disulfide reductase (NADPH) activity [Evidence IEA]'],gor,-
WP_250122583.1,-,-,,,,None,-
WP_250122584.1,-,-,,,,None,-
WP_250122585.1,-,-,,,['GO:0005515 - protein binding [Evidence IEA]'],None,-
WP_250122586.1,-,-,,,,None,-
WP_250122588.1,-,-,,,,None,-
WP_250122589.1,-,-,['GO:0016037 - light absorption [Evidence IEA]'],['GO:0030089 - phycobilisome [Evidence IEA]'],['GO:0031404 - chloride ion binding [Evidence IEA]'],None,GO:0016037(InterPro)|GO:0030089(InterPro)|GO:0031404(InterPro)
WP_250122590.1,"GO:0003674,GO:0003824,GO:0006793,GO:0006796,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0044237",-,,,,None,-
WP_250122591.1,-,ko:K07263,,,,None,-
WP_250122592.1,-,ko:K21747,,,,None,GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
WP_250122593.1,-,-,,,,None,-
WP_250122594.1,-,ko:K03630,['GO:0006281 - DNA repair [Evidence IEA]'],,['GO:0003677 - DNA binding [Evidence IEA]'],radC,-
WP_250122595.1,-,-,,,,None,-
WP_250122596.1,-,ko:K03310,,,,None,GO:0005283(InterPro)|GO:0005886(PANTHER)|GO:0006814(InterPro)|GO:0006865(InterPro)|GO:0016020(InterPro)
WP_250122597.1,-,ko:K07124,,,,None,-
WP_250122598.1,-,-,['GO:0015979 - photosynthesis [Evidence IEA]'],"['GO:0030095 - chloroplast photosystem II [Evidence IEA]', 'GO:0030096 - plasma membrane-derived thylakoid photosystem II [Evidence IEA]']",['GO:0003674 - molecular_function [Evidence IEA]'],None,-
WP_250122599.1,-,-,,,,None,-
WP_250122600.1,-,ko:K00058,['GO:0006564 - L-serine biosynthetic process [Evidence IEA]'],,['GO:0004617 - phosphoglycerate dehydrogenase activity [Evidence IEA]'],serA,-
WP_250122601.1,-,ko:K02687,['GO:0036211 - protein modification process [Evidence IEA]'],,['GO:0008757 - S-adenosylmethionine-dependent methyltransferase activity [Evidence IEA]'],prmA,-
WP_250122602.1,"GO:0003674,GO:0003824,GO:0004791,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006950,GO:0006979,GO:0008150,GO:0008152,GO:0009636,GO:0009987,GO:0015035,GO:0015036,GO:0016209,GO:0016491,GO:0016651,GO:0016667,GO:0016668,GO:0016671,GO:0019725,GO:0033554,GO:0034599,GO:0042221,GO:0042592,GO:0044424,GO:0044464,GO:0045454,GO:0047134,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0055114,GO:0065007,GO:0065008,GO:0070887,GO:0097237,GO:0098754,GO:0098869,GO:1990748",ko:K01829,,['GO:0005737 - cytoplasm [Evidence IEA]'],['GO:0015036 - disulfide oxidoreductase activity [Evidence IEA]'],trxA,-
WP_250122603.1,-,ko:K00059,['GO:0006633 - fatty acid biosynthetic process [Evidence IEA]'],,['GO:0004316 - 3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [Evidence IEA]'],fabG,-
WP_250122604.1,"GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006457,GO:0006458,GO:0008150,GO:0009987,GO:0016465,GO:0032991,GO:0044183,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0051082,GO:0061077,GO:0101031,GO:1990220",ko:K04077,['GO:0006457 - protein folding [Evidence IEA]'],,"['GO:0005515 - protein binding [Evidence IEA]', 'GO:0016887 - ATP hydrolysis activity [Evidence IEA]']",groL,-
WP_250122605.1,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904",ko:K02916,['GO:0006412 - translation [Evidence IEA]'],"['GO:0000315 - organellar large ribosomal subunit [Evidence IEA]', 'GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]']",['GO:0003735 - structural constituent of ribosome [Evidence IEA]'],rpmI,-
WP_250122606.1,"GO:0000027,GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006996,GO:0008150,GO:0009987,GO:0015934,GO:0016043,GO:0022607,GO:0022613,GO:0022618,GO:0022625,GO:0022626,GO:0032991,GO:0034622,GO:0042254,GO:0042255,GO:0042273,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043933,GO:0044085,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0065003,GO:0070925,GO:0071826,GO:0071840,GO:1990904",ko:K02887,['GO:0006412 - translation [Evidence IEA]'],['GO:0005840 - ribosome [Evidence IEA]'],"['GO:0003735 - structural constituent of ribosome [Evidence IEA]', 'GO:0019843 - rRNA binding [Evidence IEA]']",rplT,GO:0003735(InterPro)|GO:0005840(InterPro)|GO:0006412(InterPro)|GO:0019843(InterPro)
WP_250122607.1,-,"ko:K02030,ko:K09969",,,,None,-
WP_250122608.1,-,-,,,,None,GO:0005515(InterPro)
WP_250122609.1,-,ko:K02723,,,,None,GO:0009523(InterPro)|GO:0015979(InterPro)|GO:0016020(InterPro)|GO:0030145(InterPro)
WP_250122610.1,-,-,,,,None,-
WP_250122611.1,-,-,['GO:0008150 - biological_process [Evidence IEA]'],['GO:0005575 - cellular_component [Evidence IEA]'],['GO:0003674 - molecular_function [Evidence IEA]'],None,-
WP_250122612.1,-,-,,,,None,-
WP_250122613.1,-,ko:K07263,,,,None,-
WP_250122614.1,-,-,,,,None,-
WP_250122615.1,-,ko:K01265,['GO:0036211 - protein modification process [Evidence IEA]'],,,map,GO:0006508(InterPro)|GO:0070006(InterPro)
WP_250122616.1,-,-,,,,None,-
WP_250122617.1,-,-,,,,None,-
WP_250122618.1,-,ko:K00799,,,,None,-
WP_250122619.1,-,-,,,,None,GO:0016020(InterPro)
WP_250122620.1,-,-,,,,None,-
WP_250122621.1,-,ko:K03790,,,,None,-
WP_250122622.1,-,-,,,,None,GO:0005515(InterPro)
WP_250122623.1,-,ko:K01624,['GO:0006096 - glycolytic process [Evidence IEA]'],,['GO:0004332 - fructose-bisphosphate aldolase activity [Evidence IEA]'],fba,GO:0004332(InterPro)|GO:0006096(InterPro)
WP_250122624.1,-,ko:K01621,,,,None,GO:0005975(InterPro)|GO:0016832(InterPro)
WP_250122625.1,-,-,,,,None,-
WP_250122629.1,-,-,,,,None,-
WP_250122631.1,-,-,,,,None,GO:0005515(InterPro)
WP_250122632.1,-,-,,,,None,-
WP_250122633.1,-,ko:K02004,,,,None,-
WP_250122634.1,-,ko:K02005,['GO:0006810 - transport [Evidence IEA]'],,['GO:0005215 - transporter activity [Evidence IEA]'],None,-
WP_250122635.1,-,-,"['GO:0006260 - DNA replication [Evidence IEA]', 'GO:0032508 - DNA duplex unwinding [Evidence IEA]']",,"['GO:0003677 - DNA binding [Evidence IEA]', 'GO:0003678 - DNA helicase activity [Evidence IEA]', 'GO:0005524 - ATP binding [Evidence IEA]']",None,-
WP_250122637.1,-,ko:K11085,,,,None,GO:0005524(InterPro)|GO:0016887(InterPro)
WP_250122638.1,-,ko:K00633,,,,None,GO:0005515(InterPro)
WP_250122639.1,-,-,,,,None,-
WP_250122640.1,-,-,,,,None,-
WP_250122641.1,-,-,,,,None,-
WP_250122642.1,-,-,,,,None,-
WP_250122643.1,-,-,,['GO:0016020 - membrane [Evidence IEA]'],['GO:0016757 - glycosyltransferase activity [Evidence IEA]'],None,GO:0016020(InterPro)|GO:0016757(InterPro)
WP_250122644.1,-,-,,,,None,-
WP_250122645.1,-,-,,,,None,-
WP_250122646.1,-,ko:K03270,,,,None,-
WP_250122647.1,-,ko:K01627,['GO:0009058 - biosynthetic process [Evidence IEA]'],,['GO:0008676 - 3-deoxy-8-phosphooctulonate synthase activity [Evidence IEA]'],kdsA,GO:0005737(InterPro)|GO:0008676(InterPro)
WP_250122647.1,-,ko:K01627,['GO:0009058 - biosynthetic process [Evidence IEA]'],,['GO:0008676 - 3-deoxy-8-phosphooctulonate synthase activity [Evidence IEA]'],kdsA,GO:0005737(InterPro)|GO:0008676(InterPro)
WP_250122648.1,-,ko:K00979,['GO:0009244 - lipopolysaccharide core region biosynthetic process [Evidence IEA]'],,['GO:0008690 - 3-deoxy-manno-octulosonate cytidylyltransferase activity [Evidence IEA]'],kdsB,-
WP_250122649.1,-,-,,,,None,-
WP_250122650.1,-,ko:K06041,['GO:0005975 - carbohydrate metabolic process [Evidence IEA]'],,['GO:0016853 - isomerase activity [Evidence IEA]'],None,-
WP_250122651.1,-,-,,,['GO:0016757 - glycosyltransferase activity [Evidence IEA]'],None,-
WP_250122652.1,-,-,,,,None,-
WP_250122653.1,-,-,,,['GO:0008146 - sulfotransferase activity [Evidence IEA]'],None,GO:0008146(InterPro)
WP_250122654.1,-,-,,,,None,-
WP_250122655.1,-,-,,,['GO:0016491 - oxidoreductase activity [Evidence IEA]'],None,-
WP_250122656.1,-,-,,,,None,-
WP_250122657.1,-,"ko:K00067,ko:K01790","['GO:0009243 - O antigen biosynthetic process [Evidence IEA]', 'GO:0019305 - dTDP-rhamnose biosynthetic process [Evidence IEA]']",,"['GO:0008830 - dTDP-4-dehydrorhamnose 3,5-epimerase activity [Evidence IEA]']",rfbC,GO:0008830(InterPro)
WP_250122658.1,-,-,,,,None,-
WP_250122659.1,-,-,,,,None,GO:0016757(InterPro)|GO:0016757(PANTHER)
WP_250122660.1,-,ko:K01854,,,,None,-
WP_250122661.1,-,ko:K07494,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250122661.1,-,ko:K07494,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250122661.1,-,ko:K07494,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250122661.1,-,ko:K07494,,,['GO:0004803 - transposase activity [Evidence IEA]'],None,-
WP_250122662.1,-,-,,,,None,-
WP_250122663.1,-,ko:K15736,,,['GO:0016491 - oxidoreductase activity [Evidence IEA]'],lhgO,GO:0005737(PANTHER)|GO:0047545(PANTHER)
WP_250122664.1,-,ko:K00978,['GO:0009103 - lipopolysaccharide biosynthetic process [Evidence IEA]'],,['GO:0047343 - glucose-1-phosphate cytidylyltransferase activity [Evidence IEA]'],rfbF,-
WP_250122665.1,-,-,,,,None,-
WP_250122666.1,-,-,,,,None,-
WP_250122668.1,-,-,,,['GO:0016758 - hexosyltransferase activity [Evidence IEA]'],None,GO:0016758(InterPro)
WP_250122669.1,-,-,,,['GO:0016740 - transferase activity [Evidence IEA]'],pssD,-
WP_250122670.1,-,"ko:K00012,ko:K00066",['GO:0000271 - polysaccharide biosynthetic process [Evidence IEA]'],,"['GO:0003979 - UDP-glucose 6-dehydrogenase activity [Evidence IEA]', 'GO:0016616 - oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [Evidence IEA]', 'GO:0051287 - NAD binding [Evidence IEA]']",None,GO:0016616(InterPro)|GO:0051287(InterPro)
WP_250122671.1,-,-,,,,None,-
WP_250122672.1,-,-,,,,None,-
WP_250122673.1,-,-,,,,None,-
WP_250122674.1,-,ko:K00860,['GO:0006790 - sulfur compound metabolic process [Evidence IEA]'],,['GO:0004020 - adenylylsulfate kinase activity [Evidence IEA]'],cysC,GO:0000103(InterPro)|GO:0004020(InterPro)|GO:0005524(InterPro)
WP_250122675.1,-,-,,,,None,-
WP_250122677.1,-,-,,,,None,-
WP_250122678.1,-,ko:K18816,,,,None,-
WP_250122679.1,-,-,,,,None,GO:0003700(InterPro)|GO:0006355(InterPro)
WP_250122680.1,-,-,,,,None,-
WP_250122682.1,-,-,,,,None,-
WP_250122683.1,-,-,,,,None,-
WP_250122684.1,-,-,,,,None,-
WP_250122685.1,-,ko:K21481,,,,None,-
WP_250122686.1,-,-,,,,None,-
WP_250122687.1,-,-,,,,None,-
WP_250122688.1,-,ko:K07506,,,,None,GO:0003700(InterPro)|GO:0006355(InterPro)|GO:0043565(InterPro)
WP_250122689.1,-,ko:K03088,['GO:0006352 - DNA-templated transcription initiation [Evidence IEA]'],,"['GO:0003700 - DNA-binding transcription factor activity [Evidence IEA]', 'GO:0016987 - sigma factor activity [Evidence IEA]']",None,-
WP_250122691.1,-,-,,,,None,-
WP_250122695.1,-,-,['GO:0006355 - regulation of DNA-templated transcription [Evidence IEA]'],,['GO:0003700 - DNA-binding transcription factor activity [Evidence IEA]'],None,-
WP_250122696.1,-,-,,,,None,-
WP_250122697.1,-,-,,,,None,-
WP_250122698.1,-,ko:K07506,['GO:0006355 - regulation of DNA-templated transcription [Evidence IEA]'],,"['GO:0003700 - DNA-binding transcription factor activity [Evidence IEA]', 'GO:0043565 - sequence-specific DNA binding [Evidence IEA]']",None,-
WP_250122699.1,-,-,,,,None,-
WP_250122700.1,-,-,,,,None,-
WP_250122701.1,-,ko:K07496,,,,None,-
WP_250122702.1,-,ko:K07491,,,['GO:0004803 - transposase activity [Evidence IEA]'],tnpA,GO:0003677(InterPro)|GO:0004803(InterPro)|GO:0006313(InterPro)
WP_250122703.1,-,ko:K03556,,,,None,GO:0005515(InterPro)
WP_250122704.1,-,-,,,,None,GO:0016747(InterPro)
WP_250122705.1,-,-,,,,None,-
WP_250122706.1,-,-,,,,None,-
WP_250122707.1,-,-,,,,None,-
WP_250122709.1,-,-,['GO:0006810 - transport [Evidence IEA]'],,['GO:0005215 - transporter activity [Evidence IEA]'],None,-
WP_250122710.1,-,ko:K18833,,,,None,GO:0022857(InterPro)|GO:0055085(InterPro)
WP_250122711.1,-,-,,,,None,GO:0016627(InterPro)|GO:0050660(InterPro)
WP_250122712.1,-,ko:K07010,,,['GO:0016787 - hydrolase activity [Evidence IEA]'],None,-
WP_250122713.1,-,-,,,,None,-
WP_250122714.1,-,-,,,,None,-
WP_250122715.1,-,-,,,,None,-
WP_250122716.1,-,-,,,,None,-
WP_250122717.1,-,-,,,,None,-
WP_250122719.1,-,ko:K03596,,,"['GO:0003924 - GTPase activity [Evidence IEA]', 'GO:0005525 - GTP binding [Evidence IEA]']",lepA,GO:0003924(InterPro)|GO:0005525(InterPro)
WP_250122720.1,-,-,,,,None,GO:0003677(InterPro)|GO:0004519(InterPro)|GO:0006304(InterPro)
WP_250122721.1,-,ko:K04079,['GO:0006457 - protein folding [Evidence IEA]'],,"['GO:0005524 - ATP binding [Evidence IEA]', 'GO:0016887 - ATP hydrolysis activity [Evidence IEA]', 'GO:0051082 - unfolded protein binding [Evidence IEA]']",htpG,-
WP_250122722.1,"GO:0003674,GO:0003735,GO:0005198,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0015934,GO:0022625,GO:0022626,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:1990904",ko:K02902,['GO:0006412 - translation [Evidence IEA]'],"['GO:0000311 - plastid large ribosomal subunit [Evidence IEA]', 'GO:0022625 - cytosolic large ribosomal subunit [Evidence IEA]']",['GO:0003735 - structural constituent of ribosome [Evidence IEA]'],rpmB,GO:0003735(InterPro)
WP_250122723.1,-,-,,,,None,-
WP_250122725.1,-,-,,,,None,-
WP_250122726.1,-,-,,,,None,-
WP_250122729.1,-,ko:K01929,,,,None,GO:0005524(InterPro)|GO:0009058(InterPro)
WP_250122730.1,-,-,,,,None,-
WP_250122731.1,-,-,,,,None,-
WP_250122733.1,-,-,,,"['GO:0016702 - oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [Evidence IEA]']",None,GO:0010436(PANTHER)|GO:0016121(PANTHER)|GO:0016702(InterPro)
WP_250122734.1,-,-,,,,None,-
WP_250122735.1,-,ko:K01810,,,,None,GO:0004347(InterPro)|GO:0004347(PANTHER)|GO:0005829(PANTHER)|GO:0006094(PANTHER)|GO:0006094(InterPro)|GO:0006096(InterPro)|GO:0006096(PANTHER)|GO:0048029(PANTHER)|GO:0051156(PANTHER)
WP_250122736.1,-,-,,,,None,-
WP_250122737.1,-,ko:K07119,,,,None,-
WP_250122738.1,-,ko:K12979,,,,None,-
WP_250122739.1,-,ko:K01466,,,['GO:0016787 - hydrolase activity [Evidence IEA]'],None,GO:0016787(InterPro)
WP_250122740.1,-,-,,,,None,-
WP_250122741.1,-,-,,,,None,-
WP_250122742.1,-,ko:K00128,,,,None,-
WP_250122743.1,-,-,['GO:0006807 - nitrogen compound metabolic process [Evidence IEA]'],,,None,-
WP_250122744.1,-,-,,,,None,-
WP_250122745.1,-,-,,,"['GO:0016209 - antioxidant activity [Evidence IEA]', 'GO:0016491 - oxidoreductase activity [Evidence IEA]']",None,GO:0016209(InterPro)|GO:0016491(InterPro)
WP_250122746.1,-,ko:K03386,,,,None,-
WP_250122747.1,-,ko:K00705,,,,None,GO:0005975(InterPro)
WP_250122748.1,-,-,,,,None,GO:0051537(InterPro)
WP_250122749.1,-,-,,,,None,-
WP_250122750.1,-,ko:K04773,['GO:0006465 - signal peptide processing [Evidence IEA]'],,['GO:0004252 - serine-type endopeptidase activity [Evidence IEA]'],sppA,-
WP_250122751.1,-,ko:K06208,['GO:0009073 - aromatic amino acid family biosynthetic process [Evidence IEA]'],,['GO:0004106 - chorismate mutase activity [Evidence IEA]'],aroH,-
WP_250122752.1,-,ko:K02294,['GO:0006629 - lipid metabolic process [Evidence IEA]'],,,None,-
