#Chroococcidiopsis_sp._SAG_2025_(cyanobacteria)
WP_006196724.1	K02518
WP_015154682.1			
WP_015154683.1			K06287
WP_015154685.1			
WP_015154688.1			
WP_015154701.1			K19172
WP_015154704.1			K00507
WP_015154706.1			
WP_015154709.1			K21449
WP_015154720.1			K01834
WP_015154723.1			K01358
WP_015154724.1			K07114
WP_015154725.1			
WP_015154727.1			K19092
WP_015154728.1			K07746
WP_015154734.1			
WP_015154738.1			K11953,ko:K15578
WP_015154740.1			
WP_015154741.1			
WP_015154742.1			K00259
WP_015154755.1			
WP_015154756.1			
WP_015154758.1			
WP_015154760.1			K01991
WP_015154765.1			
WP_015154767.1			K02935
WP_015154770.1			K02867
WP_015154771.1			K02601
WP_015154772.1			K03073
WP_015154774.1			
WP_015154781.1			
WP_015154787.1			K05886
WP_015154790.1			K03892
WP_015154791.1			
WP_015154794.1			K00822,ko:K00833
WP_015154795.1			K06187
WP_015154799.1			K07814
WP_015154801.1			K00145
WP_015154803.1			K01759
WP_015154804.1			K03695
WP_015154805.1			
WP_015154806.1			
WP_015154812.1			
WP_015154813.1			K03500
WP_015154817.1			
WP_015154818.1			
WP_015154819.1			K15973
WP_015154820.1			
WP_015154821.1			K01507
WP_015154822.1			K01579
WP_015154823.1			K01673
WP_015154824.1			K00766
WP_015154825.1			
WP_015154831.1			
WP_015154837.1			
WP_015154838.1			
WP_015154839.1			
WP_015154843.1			
WP_015154844.1			
WP_015154845.1			K02428
WP_015154849.1			K09836
WP_015154853.1			
WP_015154854.1			
WP_015154855.1			
WP_015154857.1			
WP_015154861.1			K03892
WP_015154862.1			K02040
WP_015154864.1			
WP_015154870.1			
WP_015154873.1			
WP_015154876.1			
WP_015154879.1			
WP_015154881.1			
WP_015154882.1			K00008
WP_015154883.1			
WP_015154884.1			K04047
WP_015154888.1			
WP_015154889.1			K02639
WP_015154890.1			
WP_015154891.1			K03592
WP_015154892.1			
WP_015154896.1			K00382
WP_015154902.1			
WP_015154903.1			
WP_015154904.1			
WP_015154905.1			
WP_015154912.1			
WP_015154914.1			
WP_015154915.1			
WP_015154916.1			K00859
WP_015154924.1			
WP_015154930.1			
WP_015154938.1			
WP_015154940.1			K00860
WP_015154941.1			
WP_015154942.1			
WP_015154945.1			K02639
WP_015154948.1			
WP_015154952.1			
WP_015154953.1			K01599
WP_015154954.1			
WP_015154957.1			
WP_015154970.1			
WP_015154978.1			
WP_015154979.1			K03787
WP_015154983.1			
WP_015154991.1			
WP_015154992.1			K00940
WP_015154993.1			K01585
WP_015154997.1			K06999
WP_015154999.1			K13038
WP_015155001.1			K03839
WP_015155003.1			K02705
WP_015155004.1			K07100
WP_015155005.1			K21929
WP_015155007.1			K01591
WP_015155008.1			K01866
WP_015155010.1			K06911
WP_015155011.1			
WP_015155016.1			
WP_015155018.1			K03699
WP_015155019.1			K00703
WP_015155020.1			K01749
WP_015155021.1			
WP_015155024.1			K03564
WP_015155025.1			
WP_015155033.1			K09951
WP_015155035.1			K07464
WP_015155042.1			
WP_015155047.1			K11330
WP_015155053.1			
WP_015155055.1			K07263
WP_015155057.1			
WP_015155058.1			
WP_015155065.1			
WP_015155071.1			K00266
WP_015155072.1			
WP_015155073.1			
WP_015155081.1			
WP_015155082.1			
WP_015155083.1			
WP_015155086.1			
WP_015155088.1			
WP_015155093.1			
WP_015155096.1			K01711
WP_015155098.1			
WP_015155100.1			K00995
WP_015155101.1			
WP_015155102.1			
WP_015155109.1			
WP_015155112.1			
WP_015155113.1			K01724
WP_015155114.1			
WP_015155115.1			
WP_015155116.1			
WP_015155117.1			
WP_015155121.1			
WP_015155125.1			K06861
WP_015155131.1			K00263
WP_015155134.1			
WP_015155142.1			K00799,ko:K11209
WP_015155148.1			K09690
WP_015155157.1			K03856
WP_015155159.1			
WP_015155162.1			
WP_015155165.1			
WP_015155166.1			
WP_015155167.1			
WP_015155169.1			
WP_015155177.1			
WP_015155178.1			K03829
WP_015155180.1			
WP_015155182.1			K02479
WP_015155192.1			
WP_015155195.1			K00703
WP_015155196.1			
WP_015155197.1			K01791
WP_015155198.1			
WP_015155199.1			
WP_015155200.1			K02669
WP_015155202.1			
WP_015155204.1			
WP_015155208.1			
WP_015155218.1			
WP_015155219.1			
WP_015155221.1			
WP_015155222.1			
WP_015155232.1			K07124
WP_015155235.1			
WP_015155240.1			
WP_015155242.1			
WP_015155243.1			
WP_015155245.1			
WP_015155246.1			K02690
WP_015155249.1			
WP_015155252.1			
WP_015155254.1			
WP_015155255.1			
WP_015155256.1			K03497
WP_015155257.1			
WP_015155262.1			
WP_015155263.1			
WP_015155266.1			
WP_015155267.1			
WP_015155269.1			
WP_015155270.1			
WP_015155271.1			
WP_015155272.1			
WP_015155277.1			
WP_015155283.1			
WP_015155285.1			K02010
WP_015155286.1			
WP_015155288.1			
WP_015155291.1			K03520
WP_015155292.1			
WP_015155293.1			
WP_015155296.1			K03333
WP_015155300.1			
WP_015155302.1			K08994
WP_015155307.1			
WP_015155316.1			
WP_015155317.1			K00451
WP_015155318.1			K00457
WP_015155320.1			K11521
WP_015155325.1			
WP_015155337.1			
WP_015155338.1			K15383
WP_015155340.1			
WP_015155341.1			
WP_015155342.1			K04047
WP_015155343.1			K03087
WP_015155344.1			
WP_015155345.1			K03574,ko:K03575
WP_015155348.1			
WP_015155349.1			
WP_015155351.1			
WP_015155352.1			K02048
WP_015155353.1			K02046
WP_015155355.1			K02034
WP_015155356.1			
WP_015155359.1			
WP_015155364.1			K03116
WP_015155368.1			
WP_015155369.1			
WP_015155371.1			
WP_015155372.1			
WP_015155376.1			K16881
WP_015155377.1			
WP_015155381.1			K07065
WP_015155382.1			
WP_015155383.1			K07213
WP_015155384.1			K16050
WP_015155385.1			K07172
WP_015155386.1			K07171
WP_015155387.1			
WP_015155388.1			
WP_015155391.1			K09120
WP_015155396.1			
WP_015155397.1			
WP_015155400.1			
WP_015155405.1			K02629
WP_015155406.1			K02628
WP_015155408.1			K02288,ko:K02631
WP_015155413.1			K02287
WP_015155414.1			K02287
WP_015155419.1			K02290
WP_015155423.1			K02899
WP_015155424.1			K07172
WP_015155430.1			K01262
WP_015155433.1			K02664
WP_015155438.1			
WP_015155439.1			K03705
WP_015155449.1			K01091
WP_015155452.1			
WP_015155453.1			
WP_015155454.1			
WP_015155457.1			
WP_015155466.1			
WP_015155471.1			K02004
WP_015155476.1			
WP_015155477.1			
WP_015155485.1			
WP_015155487.1			
WP_015155494.1			K05592
WP_015155495.1			K14441
WP_015155497.1			
WP_015155502.1			
WP_015155503.1			
WP_015155509.1			K08973
WP_015155510.1			
WP_015155516.1			
WP_015155518.1			K11959
WP_015155520.1			K11961
WP_015155521.1			K11962
WP_015155522.1			K11963
WP_015155528.1			
WP_015155535.1			
WP_015155537.1			
WP_015155538.1			K15918
WP_015155539.1			
WP_015155543.1			
WP_015155544.1			
WP_015155545.1			
WP_015155546.1			K03431
WP_015155548.1			K01921
WP_015155550.1			
WP_015155552.1			K02970
WP_015155553.1			
WP_015155554.1			K06147
WP_015155556.1			
WP_015155558.1			
WP_015155559.1			
WP_015155568.1			K00366
WP_015155576.1			
WP_015155577.1			K02435
WP_015155581.1			
WP_015155583.1			K03655,ko:K07506
WP_015155585.1			K01091,ko:K01838
WP_015155588.1			
WP_015155590.1			
WP_015155594.1			
WP_015155597.1			K03453
WP_015155598.1			
WP_015155599.1			
WP_015155601.1			
WP_015155603.1			
WP_015155608.1			K06188
WP_015155609.1			
WP_015155611.1			
WP_015155629.1			K02013
WP_015155630.1			
WP_015155631.1			
WP_015155633.1			K02016
WP_015155639.1			K02078
WP_015155640.1			K00997
WP_015155646.1			K14257
WP_015155663.1			
WP_015155666.1			
WP_015155673.1			
WP_015155675.1			
WP_015155676.1			
WP_015155682.1			K09790
WP_015155685.1			
WP_015155687.1			K07213
WP_015155688.1			K02015
WP_015155694.1			K06147
WP_015155701.1			
WP_015155702.1			
WP_015155731.1			
WP_015155743.1			
WP_015155745.1			K19159
WP_015155759.1			
WP_015155760.1			K02426
WP_015155761.1			
WP_015155764.1			K11755
WP_015155772.1			
WP_015155773.1			K07357
WP_015155774.1			
WP_015155778.1			
WP_015155786.1			
WP_015155795.1			
WP_015155801.1			
WP_015155802.1			
WP_015155808.1			
WP_015155811.1			
WP_015155816.1			
WP_015155817.1			
WP_015155822.1			K10716
WP_015155848.1			
WP_015155850.1			
WP_015155864.1			
WP_015155865.1			K05606
WP_015155867.1			
WP_015155872.1			
WP_015155877.1			
WP_015155878.1			
WP_015155888.1			
WP_015155904.1			
WP_015155905.1			K00611
WP_015155906.1			K01356
WP_015155910.1			K10697
WP_015155913.1			
WP_015155914.1			
WP_015155915.1			K02160
WP_015155916.1			K02356
WP_015155920.1			
WP_015155921.1			
WP_015155922.1			K08259
WP_015155923.1			K01735
WP_015155925.1			
WP_015155929.1			K00012
WP_015155931.1			
WP_015155946.1			K01011
WP_015155947.1			K21480
WP_015155951.1			
WP_015155952.1			
WP_015155956.1			K12132
WP_015155957.1			
WP_015155969.1			
WP_015155970.1			
WP_015155971.1			K01802,ko:K03772
WP_015155974.1			K02503
WP_015155978.1			K09780
WP_015155980.1			
WP_015155982.1			K11145
WP_015155984.1			
WP_015155989.1			K03564
WP_015155990.1			
WP_015155994.1			K02259
WP_015155996.1			K02274
WP_015156000.1			K03530
WP_015156005.1			K01992
WP_015156007.1			K11752
WP_015156009.1			
WP_015156011.1			K03569
WP_015156012.1			K03111
WP_015156017.1			K07507
WP_015156018.1			
WP_015156019.1			
WP_015156022.1			
WP_015156027.1			K08995
WP_015156039.1			K01738
WP_015156040.1			
WP_015156042.1			K02575
WP_015156044.1			
WP_015156046.1			K01990
WP_015156047.1			K08177
WP_015156050.1			K03070
WP_015156053.1			
WP_015156055.1			K07006
WP_015156057.1			
WP_015156058.1			K03685
WP_015156063.1			
WP_015156067.1			
WP_015156069.1			
WP_015156071.1			K02637
WP_015156072.1			K02635
WP_015156075.1			
WP_015156076.1			K01990
WP_015156080.1			K02724
WP_015156081.1			K00794
WP_015156083.1			
WP_015156084.1			K00147
WP_015156085.1			K00507
WP_015156087.1			K01197,ko:K12373
WP_015156088.1			
WP_015156093.1			
WP_015156094.1			
WP_015156095.1			
WP_015156096.1			K09744
WP_015156098.1			
WP_015156100.1			
WP_015156101.1			
WP_015156103.1			
WP_015156105.1			K08903
WP_015156108.1			
WP_015156110.1			K08963
WP_015156115.1			
WP_015156116.1			K03798
WP_015156119.1			
WP_015156128.1			
WP_015156133.1			K03307
WP_015156136.1			K00104
WP_015156139.1			
WP_015156144.1			K02483
WP_015156147.1			K02658,ko:K11523
WP_015156154.1			K09767
WP_015156155.1			
WP_015156157.1			
WP_015156161.1			
WP_015156167.1			K08884
WP_015156170.1			K01990
WP_015156171.1			
WP_015156172.1			
WP_015156174.1			
WP_015156181.1			
WP_015156192.1			
WP_015156194.1			
WP_015156195.1			
WP_015156203.1			
WP_015156206.1			
WP_015156207.1			
WP_015156209.1			
WP_015156212.1			K08972
WP_015156221.1			
WP_015156223.1			
WP_015156224.1			K04641
WP_015156225.1			
WP_015156230.1			
WP_015156235.1			K02115
WP_015156236.1			K02111
WP_015156237.1			K02113
WP_015156239.1			K02109
WP_015156240.1			K02108
WP_015156241.1			K02116
WP_015156243.1			K09803
WP_015156244.1			
WP_015156245.1			
WP_015156246.1			
WP_015156248.1			
WP_015156249.1			
WP_015156251.1			
WP_015156253.1			
WP_015156255.1			K02096
WP_015156256.1			K02092
WP_015156257.1			K02093
WP_015156258.1			K02094
WP_015156259.1			K03588
WP_015156260.1			K03297,ko:K11741
WP_015156261.1			K06196
WP_015156262.1			K07399
WP_015156263.1			
WP_015156264.1			K09457
WP_015156267.1			
WP_015156268.1			
WP_015156269.1			
WP_015156270.1			
WP_015156271.1			K02703
WP_015156277.1			K01057
WP_015156278.1			
WP_015156279.1			
WP_015156280.1			K03060
WP_015156281.1			
WP_015156286.1			K01611
WP_015156288.1			K03297,ko:K11741
WP_015156289.1			
WP_015156290.1			K05540
WP_015156292.1			K02093
WP_015156293.1			K02095
WP_015156295.1			
WP_015156299.1			
WP_015156305.1			
WP_015156313.1			
WP_015156314.1			
WP_015156315.1			K06891
WP_015156318.1			
WP_015156319.1			K13010,ko:K20429
WP_015156321.1			
WP_015156322.1			
WP_015156323.1			
WP_015156325.1			K00392
WP_015156327.1			K03926
WP_015156330.1			K00954
WP_015156332.1			
WP_015156334.1			K06883
WP_015156335.1			
WP_015156344.1			K09793
WP_015156346.1			K11329
WP_015156347.1			K04485
WP_015156348.1			
WP_015156349.1			
WP_015156351.1			K06118
WP_015156352.1			
WP_015156354.1			
WP_015156359.1			
WP_015156362.1			
WP_015156363.1			K00568
WP_015156365.1			
WP_015156368.1			K05916
WP_015156373.1			
WP_015156375.1			
WP_015156376.1			
WP_015156399.1			K01265
WP_015156400.1			
WP_015156401.1			K00836
WP_015156402.1			K01590,ko:K13745
WP_015156404.1			
WP_015156405.1			
WP_015156406.1			
WP_015156407.1			K02723
WP_015156408.1			
WP_015156409.1			
WP_015156410.1			
WP_015156411.1			K03665
WP_015156413.1			
WP_015156416.1			K03324,ko:K14683
WP_015156418.1			
WP_015156419.1			
WP_015156421.1			
WP_015156424.1			K00640
WP_015156426.1			K01462
WP_015156427.1			
WP_015156430.1			
WP_015156432.1			
WP_015156433.1			K05584
WP_015156435.1			
WP_015156436.1			
WP_015156438.1			
WP_015156439.1			
WP_015156440.1			
WP_015156445.1			
WP_015156446.1			K00772
WP_015156447.1			
WP_015156460.1			K09835
WP_015156461.1			K00761
WP_015156462.1			
WP_015156463.1			K02221
WP_015156464.1			
WP_015156467.1			
WP_015156472.1			
WP_015156483.1			K06442
WP_015156484.1			K01082
WP_015156486.1			
WP_015156491.1			
WP_015156493.1			
WP_015156495.1			
WP_015156496.1			
WP_015156500.1			
WP_015156504.1			K02639
WP_015156508.1			
WP_015156512.1			
WP_015156515.1			K02588
WP_015156518.1			
WP_015156524.1			K02597
WP_015156525.1			K02593
WP_015156528.1			K09772
WP_015156532.1			
WP_015156533.1			
WP_015156537.1			
WP_015156538.1			
WP_015156539.1			
WP_015156540.1			
WP_015156541.1			K09690
WP_015156544.1			
WP_015156549.1			
WP_015156550.1			
WP_015156551.1			K09691
WP_015156562.1			K01784
WP_015156568.1			K00973
WP_015156569.1			K01790
WP_015156570.1			K00067
WP_015156573.1			
WP_015156579.1			
WP_015156580.1			K08904
WP_015156581.1			K07071
WP_015156582.1			
WP_015156585.1			
WP_015156588.1			K22081
WP_015156592.1			K00304
WP_015156599.1			
WP_015156617.1			
WP_015156619.1			K01626
WP_015156623.1			
WP_015156624.1			K09819
WP_015156625.1			K09820
WP_015156628.1			K01430
WP_015156629.1			
WP_015156630.1			
WP_015156632.1			
WP_015156635.1			K01937
WP_015156636.1			
WP_015156642.1			
WP_015156643.1			
WP_015156644.1			
WP_015156646.1			K00969
WP_015156647.1			K00150
WP_015156649.1			K03800
WP_015156650.1			
WP_015156652.1			K01915
WP_015156653.1			K02097
WP_015156655.1			
WP_015156658.1			K10229
WP_015156663.1			K02051
WP_015156664.1			K02049,ko:K15555
WP_015156669.1			
WP_015156676.1			K02692
WP_015156678.1			
WP_015156680.1			K03689
WP_015156687.1			K02658
WP_015156691.1			
WP_015156694.1			K01772
WP_015156697.1			
WP_015156698.1			
WP_015156700.1			
WP_015156702.1			K07259
WP_015156704.1			K02071
WP_015156705.1			K01338
WP_015156706.1			K02946
WP_015156707.1			K02358
WP_015156708.1			K02355
WP_015156709.1			K02992
WP_015156710.1			K02950
WP_015156712.1			K01809
WP_015156721.1			
WP_015156745.1			K09690
WP_015156746.1			
WP_015156747.1			
WP_015156754.1			
WP_015156755.1			K03088
WP_015156757.1			
WP_015156759.1			K03455
WP_015156760.1			K03666
WP_015156762.1			
WP_015156765.1			
WP_015156767.1			K02016
WP_015156768.1			
WP_015156771.1			
WP_015156774.1			
WP_015156776.1			
WP_015156778.1			K05583
WP_015156783.1			K02341
WP_015156785.1			K00254
WP_015156786.1			
WP_015156787.1			K03799
WP_015156791.1			K00761
WP_015156801.1			
WP_015156804.1			K03186
WP_015156809.1			K06888
WP_015156811.1			K19003
WP_015156813.1			K01951
WP_015156814.1			K02396
WP_015156816.1			
WP_015156819.1			
WP_015156820.1			K05936
WP_015156834.1			K02022
WP_015156835.1			K06148
WP_015156836.1			
WP_015156838.1			
WP_015156841.1			
WP_015156845.1			K05837
WP_015156849.1			K02897
WP_015156850.1			K01939
WP_015156851.1			K00790
WP_015156853.1			
WP_015156854.1			K02916
WP_015156855.1			K02887
WP_015156856.1			K02030,ko:K09969
WP_015156857.1			
WP_015156860.1			K01878
WP_015156861.1			
WP_015156862.1			K12960
WP_015156864.1			
WP_015156867.1			
WP_015156874.1			K00799
WP_015156876.1			
WP_015156877.1			K19465
WP_015156887.1			
WP_015156891.1			
WP_015156896.1			
WP_015156897.1			K03187
WP_015156901.1			
WP_015156902.1			
WP_015156912.1			K06901
WP_015156914.1			K01998,ko:K11955
WP_015156916.1			
WP_015156918.1			
WP_015156922.1			
WP_015156927.1			
WP_015156930.1			
WP_015156931.1			
WP_015156932.1			
WP_015156935.1			
WP_015156936.1			
WP_015156938.1			
WP_015156941.1			K02689
WP_015156942.1			K02690
WP_015156943.1			
WP_015156944.1			
WP_015156950.1			
WP_015156951.1			
WP_015156952.1			
WP_015156953.1			
WP_015156961.1			K04334
WP_015156963.1			
WP_015156964.1			
WP_015156967.1			
WP_015156970.1			
WP_015156971.1			
WP_015156972.1			
WP_015156973.1			
WP_015156974.1			
WP_015156979.1			K05946
WP_015156985.1			K08641
WP_015156988.1			K08998
WP_015156989.1			K18678
WP_015156990.1			K03885
WP_015156991.1			
WP_015156994.1			
WP_015157004.1			
WP_015157012.1			K01992
WP_015157014.1			
WP_015157015.1			
WP_015157016.1			K18814
WP_015157017.1			
WP_015157018.1			
WP_015157021.1			
WP_015157023.1			
WP_015157026.1			
WP_015157031.1			
WP_015157034.1			K02715
WP_015157035.1			K02709
WP_015157036.1			K03116
WP_015157038.1			K02970
WP_015157041.1			K01239,ko:K01250
WP_015157046.1			K01992
WP_015157051.1			
WP_015157053.1			
WP_015157054.1			
WP_015157057.1			
WP_015157058.1			
WP_015157060.1			K07742
WP_015157061.1			K02600
WP_015157062.1			K09748
WP_015157072.1			K03568
WP_015157073.1			K03592
WP_015157074.1			
WP_015157079.1			K01809
WP_015157081.1			
WP_015157085.1			
WP_015157088.1			
WP_015157090.1			K03980
WP_015157091.1			
WP_015157092.1			
WP_015157097.1			K01783
WP_015157098.1			K04083
WP_015157104.1			K00342,ko:K05575
WP_015157109.1			
WP_015157115.1			K03711
WP_015157118.1			
WP_015157119.1			
WP_015157124.1			
WP_015157125.1			K08972
WP_015157126.1			K03559
WP_015157127.1			K03561
WP_015157128.1			
WP_015157130.1			
WP_015157135.1			
WP_015157137.1			K11645
WP_015157155.1			K09691
WP_015157158.1			
WP_015157162.1			
WP_015157164.1			K02838
WP_015157165.1			
WP_015157171.1			
WP_015157173.1			K02337
WP_015157182.1			
WP_015157184.1			
WP_015157188.1			K00865
WP_015157189.1			
WP_015157196.1			
WP_015157199.1			K00053
WP_015157204.1			
WP_015157211.1			K11443
WP_015157212.1			
WP_015157218.1			K01601
WP_015157219.1			
WP_015157220.1			K01602
WP_015157223.1			
WP_015157225.1			
WP_015157226.1			
WP_015157227.1			K00700
WP_015157234.1			K06147
WP_015157236.1			
WP_015157242.1			
WP_015157244.1			
WP_015157245.1			
WP_015157246.1			K00639,ko:K00652
WP_015157249.1			K00091
WP_015157250.1			K02003
WP_015157251.1			K02004
WP_015157252.1			K01159
WP_015157253.1			
WP_015157258.1			K03100
WP_015157263.1			
WP_015157271.1			
WP_015157274.1			
WP_015157278.1			K02437
WP_015157285.1			K11355
WP_015157287.1			
WP_015157288.1			
WP_015157289.1			K13993
WP_015157294.1			K11355
WP_015157297.1			K02483
WP_015157298.1			
WP_015157299.1			K07390
WP_015157300.1			
WP_015157304.1			K03676
WP_015157305.1			
WP_015157306.1			
WP_015157307.1			K11532
WP_015157309.1			K07075
WP_015157310.1			
WP_015157311.1			
WP_015157319.1			K02658
WP_015157320.1			K11524
WP_015157321.1			K11525
WP_015157325.1			K03639
WP_015157326.1			K02986
WP_015157327.1			
WP_015157330.1			
WP_015157332.1			
WP_015157336.1			K01999
WP_015157337.1			K07507
WP_015157340.1			
WP_015157343.1			K01829,ko:K03671
WP_015157345.1			K05575
WP_015157346.1			
WP_015157348.1			K01091
WP_015157349.1			
WP_015157350.1			K02945
WP_015157351.1			K07738
WP_015157352.1			K02704
WP_015157353.1			
WP_015157354.1			
WP_015157357.1			K07140
WP_015157358.1			
WP_015157359.1			
WP_015157364.1			
WP_015157365.1			K00806
WP_015157366.1			
WP_015157372.1			K03635
WP_015157374.1			K02292
WP_015157375.1			K17063
WP_015157378.1			K12132
WP_015157379.1			
WP_015157382.1			
WP_015157384.1			
WP_015157385.1			K03649
WP_015157390.1			
WP_015157394.1			K21147
WP_015157397.1			
WP_015157398.1			K01428
WP_015157402.1			
WP_015157405.1			K03320
WP_015157406.1			K01588
WP_015157408.1			K03428
WP_015157409.1			
WP_015157410.1			
WP_015157412.1			K02638
WP_015157415.1			K01933
WP_015157417.1			
WP_015157418.1			
WP_015157430.1			
WP_015157432.1			K09972,ko:K10004
WP_015157436.1			
WP_015157439.1			
WP_015157442.1			
WP_015157443.1			K07238
WP_015157444.1			
WP_015157447.1			K02232
WP_015157448.1			
WP_015157451.1			K09005
WP_015157452.1			
WP_015157453.1			
WP_015157455.1			K03090
WP_015157456.1			K06890
WP_015157458.1			
WP_015157459.1			K07042
WP_015157461.1			K01658,ko:K01664
WP_015157463.1			
WP_015157466.1			
WP_015157477.1			
WP_015157478.1			
WP_015157479.1			
WP_015157480.1			K03652
WP_015157485.1			K02714
WP_015157487.1			
WP_015157488.1			
WP_015157489.1			K01738
WP_015157490.1			K03686
WP_015157491.1			K00767
WP_015157493.1			
WP_015157499.1			
WP_015157500.1			
WP_015163053.1			
WP_039710233.1			K07171
WP_039713348.1			K04078
WP_039714205.1			
WP_039714266.1			
WP_039714828.1			K02712
WP_039715111.1			
WP_039715694.1			K10440
WP_039715888.1			
WP_039716096.1			
WP_039716585.1			
WP_039716820.1			K02884
WP_039716885.1			
WP_039717020.1			
WP_039717311.1			
WP_039717448.1			
WP_039717719.1			K04751
WP_041462305.1			K02658
WP_041462308.1			
WP_041462323.1			K03046
WP_041462336.1			
WP_041462358.1			K09763
WP_041462363.1			
WP_041462366.1			
WP_041462367.1			
WP_041462375.1			
WP_041462378.1			
WP_041462393.1			K01091
WP_041462394.1			
WP_041462412.1			
WP_041462413.1			
WP_041462420.1			K03867
WP_041462430.1			
WP_041462442.1			K07315
WP_041462455.1			
WP_041462465.1			K08902
WP_041462477.1			K00941
WP_041462487.1			
WP_041462489.1			K03786
WP_041462494.1			
WP_041462517.1			
WP_041462543.1			K17836
WP_041462559.1			
WP_041462572.1			K03316
WP_041462580.1			
WP_041462613.1			K01778
WP_041462623.1			
WP_041462638.1			
WP_041462649.1			
WP_041462657.1			K01990,ko:K09695
WP_041462750.1			
WP_041462843.1			
WP_041462846.1			K02003
WP_041462881.1			
WP_041462893.1			K02698
WP_041462902.1			
WP_041462922.1			
WP_041462960.1			
WP_041463004.1			K00847
WP_041463027.1			
WP_041463080.1			
WP_041463116.1			
WP_041463176.1			K09691
WP_041463219.1			
WP_041463225.1			K18979
WP_041463235.1			
WP_041463238.1			K08481
WP_041463243.1			
WP_041463344.1			
WP_041463346.1			
WP_041463362.1			
WP_041463411.1			
WP_041463443.1			
WP_041463457.1			K01652
WP_041463490.1			
WP_041463528.1			K01952
WP_041463533.1			K09903
WP_041463596.1			
WP_051033145.1			K03885
WP_051033153.1			K03410
WP_051033159.1			
WP_051033162.1			
WP_051033204.1			
WP_051033218.1			K07066
WP_051033224.1			
WP_051033242.1			K02012
WP_051033260.1			
WP_051033284.1			K00590
WP_051033292.1			
WP_051033300.1			K07052
WP_051033303.1			
WP_051033318.1			K02836
WP_051033326.1			
WP_051033355.1			K09790
WP_071925431.1			K09800
WP_071925448.1			K21904
WP_071925454.1			
WP_071925456.1			
WP_071925458.1			
WP_084739136.1			
WP_084739144.1			
WP_084739210.1			K11085
WP_084739232.1			K02025
WP_084739233.1			K00240
WP_106165776.1			K02016
WP_106165913.1			K01243
WP_106165926.1			K01835
WP_106165933.1			K12132
WP_106165940.1			
WP_106165942.1			
WP_106165946.1			
WP_106165948.1			
WP_106165959.1			K08482
WP_106165960.1			
WP_106165961.1			K06955
WP_106165962.1			
WP_106165963.1			K11960
WP_106166006.1			K00799
WP_106166007.1			
WP_106166012.1			K01733
WP_106166052.1			
WP_106166060.1			
WP_106166066.1			
WP_106166068.1			K01077
WP_106166111.1			K06041
WP_106166112.1			K00979
WP_106166113.1			K01627
WP_106166119.1			
WP_106166126.1			K01745,ko:K10775
WP_106166133.1			
WP_106166142.1			
WP_106166147.1			
WP_106166148.1			K00561,ko:K02528
WP_106166149.1			
WP_106166152.1			
WP_106166153.1			
WP_106166171.1			K02338
WP_106166172.1			K00826
WP_106166181.1			
WP_106166189.1			K01092
WP_106166194.1			
WP_106166198.1			
WP_106166202.1			
WP_106166205.1			K02340
WP_106166244.1			
WP_106166249.1			
WP_106166286.1			
WP_106166320.1			K02052
WP_106166371.1			
WP_106166376.1			K00930
WP_106166378.1			
WP_106166388.1			
WP_106166396.1			K09931
WP_106166397.1			
WP_106166407.1			
WP_106166433.1			K00873
WP_106166434.1			
WP_106166435.1			K05916
WP_106166438.1			K07300
WP_106166504.1			K00784
WP_106166505.1			
WP_106166508.1			
WP_106166509.1			K07086
WP_106166511.1			K02026
WP_106166514.1			
WP_106166531.1			
WP_106166559.1			
WP_106166563.1			
WP_106166565.1			
WP_106166570.1			K00766
WP_106166588.1			K18828
WP_106166590.1			
WP_106166593.1			
WP_106166594.1			K07402
WP_106166608.1			K03517
WP_106166610.1			K13481
WP_106166617.1			K21449
WP_106166618.1			K21449
WP_106166628.1			K02434
WP_106166639.1			
WP_106166650.1			K03584
WP_106166651.1			K01619
WP_106166704.1			
WP_106166705.1			
WP_106166712.1			K07217
WP_106166717.1			
WP_106166718.1			
WP_106166725.1			
WP_106166727.1			K00931
WP_106166813.1			
WP_106166821.1			
WP_106166826.1			
WP_106166828.1			K12454
WP_106166830.1			K00568
WP_106166836.1			
WP_106166843.1			
WP_106166844.1			
WP_106166859.1			
WP_106166860.1			
WP_106166869.1			
WP_106166871.1			K07336
WP_106166872.1			K19000
WP_106166875.1			
WP_106166886.1			
WP_106166928.1			
WP_106166930.1			
WP_106166931.1			
WP_106166932.1			K01711
WP_106166933.1			
WP_106166937.1			
WP_106166938.1			
WP_106166943.1			K02834
WP_106166944.1			
WP_106166945.1			K01436
WP_106166946.1			
WP_106166947.1			K06213
WP_106166949.1			K02026
WP_106166958.1			
WP_106166959.1			
WP_106166960.1			
WP_106166961.1			K00971,ko:K16011
WP_106166968.1			K11175
WP_106167007.1			
WP_106167036.1			
WP_106167038.1			
WP_106167042.1			
WP_106167050.1			
WP_106167057.1			K00384
WP_106167073.1			K19221
WP_106167146.1			
WP_106167159.1			K00588
WP_106167184.1			
WP_106167185.1			K03644
WP_106167186.1			K02702
WP_106167187.1			K11956
WP_106167205.1			K03327
WP_106167213.1			
WP_106167223.1			
WP_106167249.1			
WP_106167250.1			
WP_106167267.1			
WP_106167275.1			K00640
WP_106167277.1			
WP_106167278.1			
WP_106167280.1			
WP_106167286.1			K05366
WP_106167291.1			
WP_106167311.1			
WP_106167315.1			K01710,ko:K08678
WP_106167316.1			
WP_106167319.1			
WP_106167396.1			
WP_106167397.1			K09880
WP_106167412.1			K00480,ko:K16839
